Unnamed: 0,img,doctor,M1,M2,M3,M4,M5,experience,spearman,spearman_p,is_constant_rating,top_models
50,350_HC.png,Doc_B,4,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
51,712_2HC.png,Doc_B,4,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
52,058_HC.png,Doc_B,1,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
53,072_HC.png,Doc_B,2,4,5,5,4,senior,0.5270462766947298,0.3614548502018728,False,"['M3', 'M4']"
54,719_HC.png,Doc_B,3,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
55,352_2HC.png,Doc_B,3,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
56,375_HC.png,Doc_B,5,5,5,5,5,senior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
57,057_HC.png,Doc_B,5,4,4,3,3,senior,-0.9486832980505137,0.013846832988859107,False,['M1']
58,035_HC.png,Doc_B,1,4,4,4,4,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
59,357_HC.png,Doc_B,3,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
60,708_HC.png,Doc_C,3,3,4,4,4,junior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
61,110_HC.png,Doc_C,1,1,1,2,2,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
62,089_HC.png,Doc_C,1,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
63,592_HC.png,Doc_C,3,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
64,380_HC.png,Doc_C,1,1,1,3,3,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
65,771_HC.png,Doc_C,3,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
66,519_HC.png,Doc_C,2,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
67,561_2HC.png,Doc_C,2,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
68,439_HC.png,Doc_C,5,4,4,4,4,junior,-0.7071067811865475,0.18169011381620928,False,['M1']
69,493_HC.png,Doc_C,3,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
70,473_HC.png,Doc_C,3,3,3,3,3,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
71,510_HC.png,Doc_C,3,4,4,4,5,junior,0.8944271909999159,0.040519326353834,False,['M5']
72,512_HC.png,Doc_C,3,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
73,193_2HC.png,Doc_C,1,1,4,4,4,junior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
74,001_HC.png,Doc_C,1,1,1,4,4,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
75,208_HC.png,Doc_C,1,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
76,178_HC.png,Doc_C,1,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
77,032_HC.png,Doc_C,1,2,2,3,3,junior,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
78,026_2HC.png,Doc_C,1,1,1,4,4,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
79,160_HC.png,Doc_C,1,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
80,350_HC.png,Doc_C,4,4,4,4,4,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
81,712_2HC.png,Doc_C,2,3,4,3,4,junior,0.7378647873726218,0.15461852312844906,False,"['M3', 'M5']"
82,058_HC.png,Doc_C,1,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
83,072_HC.png,Doc_C,3,4,4,4,4,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
84,719_HC.png,Doc_C,1,3,4,4,4,junior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
85,352_2HC.png,Doc_C,3,5,5,5,5,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
86,375_HC.png,Doc_C,4,4,4,4,4,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
87,057_HC.png,Doc_C,4,4,4,4,4,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
88,035_HC.png,Doc_C,1,4,4,4,3,junior,0.22360679774997896,0.7176856442107861,False,"['M2', 'M3', 'M4']"
89,357_HC.png,Doc_C,1,5,5,5,5,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
90,708_HC.png,Doc_D,4,4,4,5,5,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
91,110_HC.png,Doc_D,1,1,1,3,4,junior,0.8944271909999159,0.040519326353834,False,['M5']
92,089_HC.png,Doc_D,1,4,5,5,5,junior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
93,592_HC.png,Doc_D,4,4,5,5,5,junior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
94,380_HC.png,Doc_D,1,1,1,3,4,junior,0.8944271909999159,0.040519326353834,False,['M5']
95,771_HC.png,Doc_D,4,4,5,5,5,junior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
96,519_HC.png,Doc_D,4,5,4,4,5,junior,0.28867513459481287,0.6376180914006018,False,"['M2', 'M5']"
97,561_2HC.png,Doc_D,3,5,5,5,5,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
98,439_HC.png,Doc_D,5,4,4,5,4,junior,-0.28867513459481287,0.6376180914006018,False,"['M1', 'M4']"
99,493_HC.png,Doc_D,5,5,5,5,5,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
100,473_HC.png,Doc_D,4,5,5,4,5,junior,0.28867513459481287,0.6376180914006018,False,"['M2', 'M3', 'M5']"
101,510_HC.png,Doc_D,4,5,5,5,5,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
102,512_HC.png,Doc_D,4,4,5,5,5,junior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
103,193_2HC.png,Doc_D,1,1,4,5,4,junior,0.7905694150420949,0.11136715471408382,False,['M4']
104,001_HC.png,Doc_D,1,1,1,3,3,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
105,208_HC.png,Doc_D,4,4,4,4,5,junior,0.7071067811865475,0.18169011381620928,False,['M5']
106,178_HC.png,Doc_D,1,4,4,4,5,junior,0.8944271909999159,0.040519326353834,False,['M5']
107,032_HC.png,Doc_D,1,2,3,3,3,junior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
108,026_2HC.png,Doc_D,1,1,1,4,3,junior,0.7826237921249264,0.11761376087345808,False,['M4']
109,160_HC.png,Doc_D,1,5,4,4,4,junior,0.22360679774997896,0.7176856442107861,False,['M2']
